Ultralytics 8.3.9 🚀 Python-3.9.25 torch-2.5.1+cu121 CUDA:2 (NVIDIA GeForce RTX 3090, 24135MiB)
YOLO11 summary (fused): 238 layers, 2,586,052 parameters, 0 gradients, 6.3 GFLOPs
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100%|██
                   all       1408       5398       0.86      0.869      0.903      0.702
                     1         57        138          1      0.961      0.992      0.978
                     2         36        259      0.761      0.615      0.681      0.362
                     3         82        248      0.841      0.931      0.931      0.749
                     4         51        127      0.762      0.704      0.786      0.462
                     5         39        381      0.917      0.937      0.969      0.784
                     6         38        270      0.861      0.922      0.961      0.667
                     7         39        102      0.625      0.685      0.701      0.513
                     8         36        153      0.769       0.68      0.729      0.265
                     9         23         70      0.734      0.871      0.811      0.554
                    10         38        160      0.783      0.863       0.88      0.625
                    11         99        207      0.995      0.911      0.993      0.742
                    12        104        194       0.94      0.645      0.927      0.882
                    13        122        220      0.677      0.909       0.86       0.79
                    14         95        479      0.944      0.948      0.962      0.724
                    15        117        232      0.966      0.993      0.994      0.968
                    16         90        151      0.951      0.967      0.984      0.959
                    17        104        173      0.948      0.977      0.984      0.843
                    18        101        500      0.963      0.984      0.987      0.784
                    19        106        294      0.833      0.914      0.944      0.594
                    20         34       1040      0.932       0.96      0.978      0.789
Speed: 0.1ms preprocess, 0.7ms inference, 0.0ms loss, 2.5ms postprocess per image
