epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.8552,3.64556,6.45656,4.0834,0.02073,0.39037,0.05352,0.02184,2.66687,3.84638,2.77636,0.0701948,0.00331169,0.00331169
2,124.103,2.14895,3.3545,2.09329,0.26742,0.4539,0.25491,0.15065,1.76026,3.06016,1.75405,0.0401509,0.00660116,0.00660116
3,186.414,1.80496,2.67609,1.71867,0.31613,0.16719,0.18258,0.09753,1.9896,3.02679,1.85395,0.0100631,0.00984664,0.00984664
4,247.884,1.62914,2.30588,1.55459,0.44457,0.37281,0.29962,0.18245,1.68215,2.0939,1.63546,0.009802,0.009802,0.009802
5,315.081,1.49882,1.96083,1.4495,0.47361,0.38334,0.33496,0.22171,1.477,2.30851,1.49722,0.009736,0.009736,0.009736
6,381.317,1.39781,1.70032,1.36723,0.44115,0.59695,0.52131,0.32915,1.26294,1.72886,1.32564,0.00967,0.00967,0.00967
7,450.503,1.336,1.53689,1.32973,0.48997,0.63607,0.58417,0.37576,1.23831,1.40437,1.30756,0.009604,0.009604,0.009604
8,517.956,1.28304,1.40524,1.28347,0.45684,0.46742,0.44357,0.2858,1.49509,1.91983,1.49159,0.009538,0.009538,0.009538
9,583.079,1.24952,1.30554,1.26861,0.59842,0.6395,0.62299,0.41299,1.21572,1.24588,1.26639,0.009472,0.009472,0.009472
10,649.455,1.22448,1.23874,1.25695,0.53587,0.54238,0.55893,0.38184,1.17106,1.76953,1.24013,0.009406,0.009406,0.009406
11,714.855,1.19421,1.17252,1.22408,0.62641,0.7583,0.7305,0.50233,1.07346,1.11292,1.19131,0.00934,0.00934,0.00934
12,780.241,1.1744,1.11869,1.21774,0.64017,0.72025,0.70054,0.47561,1.12149,1.09514,1.21922,0.009274,0.009274,0.009274
13,848.88,1.15505,1.0727,1.19935,0.60971,0.72574,0.69187,0.48284,1.06836,1.13421,1.18229,0.009208,0.009208,0.009208
14,914.879,1.14396,1.04812,1.19669,0.58618,0.70325,0.67173,0.47333,1.07387,1.16028,1.17179,0.009142,0.009142,0.009142
15,980.058,1.12219,0.99893,1.1841,0.63739,0.70428,0.70417,0.47488,1.11653,1.10573,1.22154,0.009076,0.009076,0.009076
16,1045.47,1.10721,0.97412,1.17648,0.63064,0.70732,0.70288,0.49071,1.06654,1.08612,1.18045,0.00901,0.00901,0.00901
17,1111.53,1.1016,0.96718,1.17231,0.69058,0.75553,0.75518,0.52713,1.01493,0.95387,1.16126,0.008944,0.008944,0.008944
18,1177.59,1.0928,0.94798,1.16679,0.59023,0.60611,0.65013,0.46127,1.07272,1.31189,1.17158,0.008878,0.008878,0.008878
19,1242.76,1.07737,0.90926,1.16015,0.7236,0.73713,0.74877,0.50538,1.09504,0.91556,1.18434,0.008812,0.008812,0.008812
20,1309.02,1.06556,0.90864,1.14868,0.57689,0.69789,0.62057,0.43555,1.03327,1.41342,1.16571,0.008746,0.008746,0.008746
21,1374.49,1.05545,0.89681,1.14522,0.71862,0.73628,0.76692,0.53718,0.99705,0.92639,1.13797,0.00868,0.00868,0.00868
