epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.0451,4.23624,8.87482,4.59159,0,0,0,0,4.25435,5.05375,3.99691,0.0703896,0.00329004,0.00329004
2,109.031,2.55347,3.57201,2.38676,0.03274,0.72779,0.166,0.07626,2.16348,2.90491,2.08333,0.0403459,0.00657966,0.00657966
3,160.656,2.01992,2.64975,1.79555,0.03861,0.2254,0.05963,0.02489,2.24699,5.0009,2.21784,0.0102582,0.00982528,0.00982528
4,212.24,1.75209,2.23838,1.56415,0.13467,0.32657,0.12827,0.06536,1.76526,4.61652,1.63256,0.009802,0.009802,0.009802
5,263.391,1.61837,1.93701,1.45624,0.39854,0.5672,0.47784,0.28729,1.39917,1.68402,1.40192,0.009736,0.009736,0.009736
6,315.296,1.5058,1.75046,1.38001,0.36484,0.51819,0.42064,0.24661,1.48199,1.81191,1.42575,0.00967,0.00967,0.00967
7,366.17,1.45684,1.57744,1.348,0.50638,0.54247,0.5277,0.33284,1.34934,1.60262,1.36001,0.009604,0.009604,0.009604
8,418.095,1.3921,1.46881,1.30438,0.27424,0.43616,0.2995,0.19633,1.37228,2.3906,1.3746,0.009538,0.009538,0.009538
9,469.111,1.36926,1.37747,1.29118,0.59305,0.67817,0.66264,0.40907,1.23722,1.21249,1.27576,0.009472,0.009472,0.009472
10,520.231,1.32518,1.29059,1.26048,0.54822,0.69115,0.63854,0.41628,1.15589,1.28122,1.22041,0.009406,0.009406,0.009406
11,571.822,1.29993,1.25132,1.24522,0.54899,0.54493,0.51473,0.31279,1.22158,1.60667,1.28021,0.00934,0.00934,0.00934
12,624.444,1.27903,1.20211,1.24132,0.60418,0.66572,0.66875,0.44018,1.15578,1.14784,1.21991,0.009274,0.009274,0.009274
13,675.754,1.24162,1.15842,1.2195,0.54107,0.62594,0.60327,0.376,1.32018,1.36123,1.28469,0.009208,0.009208,0.009208
14,727.102,1.22302,1.11314,1.20876,0.69071,0.70661,0.73029,0.47629,1.13454,1.06434,1.19225,0.009142,0.009142,0.009142
