epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.1648,3.63386,5.53198,3.80137,0.44605,0.06736,0.05337,0.02205,2.3109,4.35083,2.5275,0.0700974,0.00332251,0.00332251
2,160.521,2.1378,3.07704,1.98737,0.10063,0.38077,0.14199,0.07651,2.0956,4.28954,2.0467,0.0400535,0.00661192,0.00661192
3,234.54,1.836,2.44139,1.64004,0.14222,0.42799,0.18571,0.09129,2.00377,3.38232,1.94245,0.00996555,0.00985732,0.00985732
4,309.731,1.65164,2.1168,1.48229,0.46313,0.51393,0.40311,0.25601,1.45058,2.05736,1.48882,0.009802,0.009802,0.009802
5,383.784,1.51592,1.84398,1.38512,0.53763,0.55883,0.55975,0.3437,1.32175,1.58455,1.36555,0.009736,0.009736,0.009736
6,458.563,1.42994,1.64815,1.32812,0.5736,0.64378,0.58715,0.36881,1.25301,1.54797,1.32884,0.00967,0.00967,0.00967
7,531.686,1.35697,1.50624,1.28893,0.63438,0.62756,0.64349,0.40735,1.19339,1.29841,1.28679,0.009604,0.009604,0.009604
8,606.439,1.31751,1.3785,1.26151,0.65703,0.71022,0.71437,0.46171,1.15521,1.2512,1.25474,0.009538,0.009538,0.009538
9,681.746,1.28136,1.31237,1.24041,0.65723,0.66252,0.67316,0.44014,1.13715,1.40291,1.24501,0.009472,0.009472,0.009472
10,754.367,1.24544,1.23324,1.21112,0.66809,0.66516,0.70021,0.45359,1.12114,1.16651,1.23468,0.009406,0.009406,0.009406
11,828.695,1.21368,1.17459,1.1895,0.65636,0.63731,0.67756,0.44369,1.13322,1.20163,1.23971,0.00934,0.00934,0.00934
12,901.304,1.21011,1.14563,1.20105,0.62873,0.72509,0.70161,0.45113,1.10425,1.11669,1.21207,0.009274,0.009274,0.009274
13,973.888,1.17556,1.08492,1.18131,0.69868,0.73464,0.75758,0.48622,1.10053,1.0322,1.19696,0.009208,0.009208,0.009208
14,1047.25,1.16323,1.07419,1.17353,0.699,0.74249,0.75623,0.51777,1.06044,0.95394,1.18178,0.009142,0.009142,0.009142
15,1119.75,1.14867,1.03164,1.15793,0.70672,0.77132,0.78152,0.53255,1.02369,0.91289,1.15902,0.009076,0.009076,0.009076
16,1194.59,1.13537,1.00912,1.1556,0.72354,0.72653,0.75492,0.51313,1.05215,1.01714,1.1782,0.00901,0.00901,0.00901
17,1266.76,1.1428,0.9894,1.15627,0.71028,0.7736,0.78778,0.54741,0.9887,0.90892,1.14836,0.008944,0.008944,0.008944
18,1340.37,1.12552,0.9755,1.14993,0.70545,0.80124,0.80208,0.55554,1.00799,0.91739,1.14272,0.008878,0.008878,0.008878
19,1413.87,1.10323,0.95153,1.14988,0.71999,0.77847,0.78841,0.54607,0.97929,0.8875,1.13855,0.008812,0.008812,0.008812
20,1487.84,1.10072,0.92405,1.14153,0.67811,0.75091,0.75608,0.52594,0.97228,0.98655,1.14627,0.008746,0.008746,0.008746
21,1559.8,1.08815,0.90895,1.13335,0.74193,0.78018,0.81705,0.56842,0.96907,0.82096,1.14051,0.00868,0.00868,0.00868
