epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.4887,1.57143,4.08862,1.20657,0.11499,0.44256,0.16596,0.12303,1.08203,3.82093,1.06796,0.0703896,0.00329004,0.00329004
2,138.057,1.29019,2.21096,1.0646,0.58283,0.49003,0.47913,0.31843,1.16257,2.03904,1.03108,0.0403459,0.00657966,0.00657966
3,188.496,1.25238,1.71994,1.04525,0.50446,0.55863,0.49457,0.31377,1.33265,2.32537,1.15413,0.0102582,0.00982528,0.00982528
4,239.995,1.21343,1.49399,1.03551,0.3953,0.56953,0.4649,0.26452,1.3288,2.66642,1.1483,0.009802,0.009802,0.009802
5,291.076,1.14776,1.32524,1.02431,0.3018,0.42342,0.36045,0.21907,1.26942,3.75123,1.11325,0.009736,0.009736,0.009736
6,341.621,1.11161,1.20498,1.01707,0.73772,0.68253,0.76858,0.51619,1.02428,1.28985,1.01612,0.00967,0.00967,0.00967
7,392.176,1.0839,1.10863,1.00671,0.53294,0.61396,0.60002,0.38954,1.21861,2.44849,1.09618,0.009604,0.009604,0.009604
8,443.237,1.05968,1.02538,0.99874,0.60381,0.59097,0.62699,0.4227,1.06667,1.91723,1.03853,0.009538,0.009538,0.009538
9,493.966,1.05222,0.98597,0.99751,0.67617,0.70739,0.73594,0.50026,1.03661,1.34657,1.02283,0.009472,0.009472,0.009472
10,544.553,1.03811,0.93171,0.99432,0.62938,0.55607,0.66587,0.43865,1.00653,1.82567,1.01533,0.009406,0.009406,0.009406
11,595.365,1.01066,0.88914,0.98641,0.71263,0.79559,0.8221,0.55161,0.98367,0.96972,1.00492,0.00934,0.00934,0.00934
12,645.754,0.99967,0.85871,0.98452,0.65149,0.72598,0.7443,0.49423,1.04323,1.15439,1.02182,0.009274,0.009274,0.009274
13,696.586,0.99015,0.83302,0.98103,0.70737,0.74678,0.77392,0.53821,0.93759,1.1297,0.98593,0.009208,0.009208,0.009208
14,758.634,0.97642,0.81713,0.97598,0.71594,0.77802,0.82102,0.57606,0.9241,0.94954,0.97629,0.009142,0.009142,0.009142
15,825.534,0.98282,0.80063,0.97518,0.75936,0.78229,0.83277,0.59655,0.89727,1.01802,0.97442,0.009076,0.009076,0.009076
16,896.879,0.96378,0.78238,0.97075,0.69005,0.68907,0.73715,0.48382,1.09771,1.18667,1.05366,0.00901,0.00901,0.00901
17,970.875,0.95758,0.76065,0.96735,0.7665,0.73166,0.79668,0.55978,0.91983,1.01934,0.98871,0.008944,0.008944,0.008944
18,1037.61,0.95322,0.75196,0.96443,0.78602,0.77526,0.82789,0.58643,0.92014,0.86655,0.98555,0.008878,0.008878,0.008878
19,1107.61,0.95015,0.74223,0.9656,0.80779,0.8096,0.86428,0.6012,0.96938,0.80538,1.00495,0.008812,0.008812,0.008812
20,1174.09,0.94867,0.7386,0.97431,0.70978,0.73989,0.80768,0.5884,0.89171,0.9156,0.9706,0.008746,0.008746,0.008746
21,1240.51,0.93553,0.72571,0.96377,0.87884,0.88064,0.9277,0.68268,0.81429,0.61539,0.94962,0.00868,0.00868,0.00868
22,1315.76,0.93031,0.70696,0.96356,0.72246,0.76997,0.82921,0.59115,0.93069,0.85471,0.98381,0.008614,0.008614,0.008614
23,1385.64,0.93728,0.69554,0.9618,0.81797,0.79975,0.85769,0.62857,0.88827,0.86381,0.97534,0.008548,0.008548,0.008548
24,1453.74,0.92485,0.69767,0.96228,0.84363,0.89971,0.93301,0.69814,0.79687,0.57144,0.94698,0.008482,0.008482,0.008482
25,1518.64,0.93212,0.69036,0.96323,0.80704,0.80401,0.87932,0.64527,0.82024,0.72488,0.94306,0.008416,0.008416,0.008416
26,1586.43,0.91981,0.6763,0.9563,0.77256,0.78992,0.84627,0.61244,0.88735,0.8438,0.97673,0.00835,0.00835,0.00835
27,1650.93,0.92224,0.67458,0.95476,0.84573,0.87213,0.91648,0.66569,0.86401,0.65219,0.96734,0.008284,0.008284,0.008284
28,1716.53,0.91415,0.66722,0.95461,0.85585,0.86676,0.92112,0.67221,0.84212,0.6304,0.9526,0.008218,0.008218,0.008218
29,1781.95,0.90858,0.66415,0.95235,0.77988,0.76737,0.83693,0.58516,0.99125,0.79907,1.01907,0.008152,0.008152,0.008152
30,1840.92,0.90843,0.65585,0.95831,0.85929,0.8422,0.91148,0.6583,0.89753,0.6477,0.9834,0.008086,0.008086,0.008086
31,1902.76,0.90022,0.66349,0.95508,0.88435,0.87512,0.94296,0.7082,0.79007,0.58388,0.94321,0.00802,0.00802,0.00802
32,1962.59,0.89334,0.63656,0.94913,0.87881,0.87272,0.93523,0.69886,0.80142,0.58906,0.94062,0.007954,0.007954,0.007954
33,2028.22,0.8788,0.63568,0.94748,0.88017,0.89466,0.94243,0.70778,0.78288,0.56142,0.93735,0.007888,0.007888,0.007888
34,2093.33,0.88619,0.63674,0.95189,0.86939,0.88776,0.93363,0.68742,0.81931,0.56405,0.94812,0.007822,0.007822,0.007822
35,2152.69,0.88913,0.62694,0.95016,0.87832,0.88007,0.93365,0.69821,0.81213,0.58625,0.95728,0.007756,0.007756,0.007756
36,2207.46,0.89049,0.62977,0.95187,0.79148,0.82793,0.87803,0.65641,0.83706,0.7141,0.96394,0.00769,0.00769,0.00769
37,2269.86,0.88798,0.62262,0.94771,0.875,0.88115,0.93467,0.71014,0.78428,0.56087,0.93336,0.007624,0.007624,0.007624
38,2331.27,0.87951,0.61507,0.94641,0.87024,0.88927,0.94841,0.717,0.78124,0.54796,0.93669,0.007558,0.007558,0.007558
39,2395.57,0.8793,0.61006,0.94378,0.85873,0.8963,0.93568,0.6974,0.81336,0.54709,0.95467,0.007492,0.007492,0.007492
40,2456.71,0.87988,0.61832,0.94934,0.91212,0.90202,0.94887,0.72432,0.77035,0.51128,0.93561,0.007426,0.007426,0.007426
41,2510.21,0.87611,0.60292,0.94541,0.79608,0.7979,0.85351,0.62112,0.87394,0.86514,0.97853,0.00736,0.00736,0.00736
42,2568.9,0.86902,0.60454,0.9478,0.88971,0.88668,0.95248,0.70775,0.82091,0.56335,0.94981,0.007294,0.007294,0.007294
43,2636.91,0.87187,0.60073,0.94394,0.88135,0.90015,0.95046,0.71423,0.77576,0.53333,0.9405,0.007228,0.007228,0.007228
44,2693.03,0.86828,0.59819,0.94215,0.89753,0.90276,0.95605,0.71193,0.8109,0.50929,0.9486,0.007162,0.007162,0.007162
45,2745.18,0.87478,0.60157,0.9466,0.88912,0.89926,0.94709,0.7221,0.76815,0.52732,0.93556,0.007096,0.007096,0.007096
46,2796.2,0.86448,0.58435,0.94219,0.86292,0.86882,0.91723,0.69075,0.81263,0.56978,0.95367,0.00703,0.00703,0.00703
47,2848.93,0.86165,0.59117,0.94095,0.88784,0.90254,0.95441,0.73444,0.74707,0.52769,0.92691,0.006964,0.006964,0.006964
48,2900.66,0.86364,0.59324,0.94454,0.87206,0.90329,0.94624,0.71708,0.77652,0.52989,0.94279,0.006898,0.006898,0.006898
49,2956.88,0.85586,0.57967,0.94161,0.90577,0.91206,0.95966,0.73583,0.75015,0.50008,0.93167,0.006832,0.006832,0.006832
50,3014.79,0.85991,0.5805,0.93931,0.90165,0.91195,0.95596,0.72735,0.76412,0.48884,0.93821,0.006766,0.006766,0.006766
51,3075.22,0.85248,0.575,0.93587,0.89957,0.91873,0.96382,0.74472,0.74038,0.47394,0.93008,0.0067,0.0067,0.0067
52,3137.12,0.84393,0.56619,0.93933,0.90036,0.90593,0.95902,0.74202,0.74385,0.48206,0.92987,0.006634,0.006634,0.006634
53,3188.97,0.84635,0.56335,0.93631,0.91083,0.89572,0.94651,0.71596,0.79067,0.48696,0.94655,0.006568,0.006568,0.006568
54,3242.84,0.83846,0.56054,0.93312,0.91136,0.92309,0.96557,0.74762,0.72711,0.46633,0.92464,0.006502,0.006502,0.006502
55,3303.26,0.84254,0.56932,0.93582,0.908,0.91889,0.95694,0.73636,0.75428,0.46162,0.93734,0.006436,0.006436,0.006436
56,3357.06,0.84469,0.56229,0.93568,0.90095,0.91631,0.95846,0.74243,0.73558,0.46393,0.92899,0.00637,0.00637,0.00637
57,3414.03,0.82583,0.55202,0.93296,0.89956,0.89855,0.94187,0.72646,0.74374,0.47907,0.93039,0.006304,0.006304,0.006304
58,3470.18,0.84277,0.55995,0.93987,0.91889,0.91646,0.97115,0.74906,0.74024,0.46487,0.92724,0.006238,0.006238,0.006238
59,3527.23,0.83247,0.54854,0.93161,0.91978,0.92067,0.96658,0.74274,0.7456,0.4649,0.93313,0.006172,0.006172,0.006172
60,3579.43,0.82541,0.54908,0.93089,0.90895,0.90934,0.95999,0.7347,0.75521,0.47342,0.93445,0.006106,0.006106,0.006106
61,3633.6,0.84251,0.55387,0.93832,0.91177,0.92035,0.96539,0.74328,0.75055,0.46709,0.93313,0.00604,0.00604,0.00604
62,3693.5,0.83803,0.54945,0.93612,0.91936,0.91343,0.96428,0.75112,0.72614,0.45218,0.92779,0.005974,0.005974,0.005974
63,3748.84,0.82447,0.54062,0.93165,0.89589,0.92171,0.96909,0.74095,0.74539,0.45863,0.93397,0.005908,0.005908,0.005908
64,3807.76,0.83131,0.54224,0.93363,0.90327,0.92551,0.96812,0.74263,0.7576,0.46238,0.93814,0.005842,0.005842,0.005842
