序号,文件名,类别,置信度,xmin,ymin,xmax,ymax
1,huiwanxi2024-220241027_DL_3108.jpg,栅藻,0.8472,1045,750,1106,814
2,huiwanxi2024-220241027_DL_3108.jpg,微囊藻,0.2809,704,773,751,831
3,huiwanxi2024-220241027_DL_3109.jpg,栅藻,0.7818,1047,603,1109,658
4,huiwanxi2024-220241027_DL_3109.jpg,微囊藻,0.3341,738,39,785,87
5,huiwanxi2024-220241027_DL_3110.jpg,栅藻,0.6828,1047,517,1107,573
6,huiwanxi2024-220241027_DL_3111.jpg,栅藻,0.8501,1047,387,1105,441
7,huiwanxi2024-220241027_DL_3112.jpg,栅藻,0.7699,1049,220,1106,271
8,huiwanxi2024-220241027_DL_3113.jpg,栅藻,0.7837,1048,91,1108,146
9,huiwanxi2024-220241027_DL_3122.jpg,微囊藻,0.3787,912,825,938,850
10,huiwanxi2024-220241027_DL_3123.jpg,微囊藻,0.4357,913,792,938,816
11,huiwanxi2024-220241027_DL_3125.jpg,微囊藻,0.4353,916,620,942,645
12,huiwanxi2024-220241027_DL_3126.jpg,微囊藻,0.3403,1358,852,1384,876
13,huiwanxi2024-220241027_DL_3131.jpg,微囊藻,0.2513,1172,799,1201,831
14,huiwanxi2024-220241027_DL_3132.jpg,微囊藻,0.3985,1172,690,1201,721
15,huiwanxi2024-220241027_DL_3133.jpg,微囊藻,0.2720,1354,40,1393,83
16,huiwanxi2024-220241027_DL_3133.jpg,微囊藻,0.2705,1172,620,1201,651
17,huiwanxi2024-220241027_DL_3164.jpg,微囊藻,0.4223,639,368,653,383
18,huiwanxi2024-220241027_DL_3165.jpg,微囊藻,0.3252,636,246,658,270
19,huiwanxi2024-220241027_DL_3181.jpg,微囊藻,0.4255,1361,688,1393,720
20,huiwanxi2024-220241027_DL_3183.jpg,微囊藻,0.2941,1361,446,1394,480
21,huiwanxi2024-220241027_DL_3183.jpg,微囊藻,0.2752,890,715,909,734
22,huiwanxi2024-220241027_DL_3184.jpg,微囊藻,0.4506,1361,341,1395,375
23,huiwanxi2024-220241027_DL_3184.jpg,微囊藻,0.3927,890,622,908,641
24,huiwanxi2024-220241027_DL_3185.jpg,微囊藻,0.3219,887,501,911,526
25,huiwanxi2024-220241027_DL_3186.jpg,微囊藻,0.5798,885,346,912,373
26,huiwanxi2024-220241027_DL_3188.jpg,微囊藻,0.4954,884,188,914,220
27,huiwanxi2024-220241027_DL_3189.jpg,微囊藻,0.5353,603,775,634,807
28,huiwanxi2024-220241027_DL_3189.jpg,微囊藻,0.4790,739,826,762,854
29,huiwanxi2024-220241027_DL_3190.jpg,微囊藻,0.6445,740,769,762,796
30,huiwanxi2024-220241027_DL_3190.jpg,微囊藻,0.4870,602,743,634,773
31,huiwanxi2024-220241027_DL_3191.jpg,微囊藻,0.6705,740,718,762,742
32,huiwanxi2024-220241027_DL_3191.jpg,微囊藻,0.6470,602,713,634,742
33,huiwanxi2024-220241027_DL_3192.jpg,微囊藻,0.3839,602,652,634,683
34,huiwanxi2024-220241027_DL_3193.jpg,微囊藻,0.2559,602,616,636,650
35,huiwanxi2024-220241027_DL_3194.jpg,微囊藻,0.3445,603,585,637,618
36,huiwanxi2024-220241027_DL_3195.jpg,微囊藻,0.4859,737,387,766,419
37,huiwanxi2024-220241027_DL_3195.jpg,微囊藻,0.4441,604,532,638,566
38,huiwanxi2024-220241027_DL_3195.jpg,微囊藻,0.4173,831,661,855,687
39,huiwanxi2024-220241027_DL_3201.jpg,微囊藻,0.4156,611,817,634,845
40,huiwanxi2024-220241027_DL_3202.jpg,微囊藻,0.6505,610,759,634,786
41,huiwanxi2024-220241027_DL_3203.jpg,微囊藻,0.6396,611,676,634,701
42,huiwanxi2024-220241027_DL_3204.jpg,微囊藻,0.6841,612,585,634,609
43,huiwanxi2024-220241027_DL_3205.jpg,微囊藻,0.6048,610,526,635,555
44,huiwanxi2024-220241027_DL_3206.jpg,微囊藻,0.3198,611,443,635,470
45,huiwanxi2024-220241027_DL_3211.jpg,微囊藻,0.5991,611,163,639,193
46,huiwanxi2024-220241027_DL_3211.jpg,微囊藻,0.5582,647,200,669,223
47,huiwanxi2024-220241027_DL_3212.jpg,微囊藻,0.4957,611,114,638,145
48,huiwanxi2024-220241027_DL_3212.jpg,微囊藻,0.4795,647,114,671,140
49,huiwanxi2024-220241027_DL_3213.jpg,微囊藻,0.4695,646,1,672,29
50,huiwanxi2024-220241027_DL_3213.jpg,微囊藻,0.4148,610,49,643,85
51,huiwanxi2024-220241027_DL_3220.jpg,微囊藻,0.2726,658,142,670,160
52,huiwanxi2024-220241027_DL_3221.jpg,微囊藻,0.4497,656,9,675,35
53,huiwanxi2024-220241027_DL_3223.jpg,微囊藻,0.5085,624,740,647,762
54,huiwanxi2024-220241027_DL_3224.jpg,微囊藻,0.3796,623,627,646,649
55,huiwanxi2024-220241027_DL_3225.jpg,微囊藻,0.2931,623,477,645,497
56,huiwanxi2024-220241027_DL_3227.jpg,微囊藻,0.3571,621,294,648,321
57,huiwanxi2024-220241027_DL_3228.jpg,微囊藻,0.5856,796,833,812,850
58,huiwanxi2024-220241027_DL_3228.jpg,微囊藻,0.5249,620,170,649,197
59,huiwanxi2024-220241027_DL_3229.jpg,微囊藻,0.6331,619,91,652,122
60,huiwanxi2024-220241027_DL_3229.jpg,微囊藻,0.4105,794,762,809,779
61,huiwanxi2024-220241027_DL_3230.jpg,微囊藻,0.3948,795,665,810,681
62,huiwanxi2024-220241027_DL_3233.jpg,微囊藻,0.4121,665,377,691,402
63,huiwanxi2024-220241027_DL_3234.jpg,微囊藻,0.4836,665,250,693,276
64,huiwanxi2024-220241027_DL_3234.jpg,微囊藻,0.2660,687,773,724,810
65,huiwanxi2024-220241027_DL_3235.jpg,微囊藻,0.4543,662,138,693,167
66,huiwanxi2024-220241027_DL_3236.jpg,微囊藻,0.4783,662,66,693,98
67,huiwanxi2024-220241027_DL_3245.jpg,微囊藻,0.3684,1139,808,1170,838
68,huiwanxi2024-220241027_DL_3259.jpg,微囊藻,0.3454,862,855,887,878
69,huiwanxi2024-220241027_DL_3260.jpg,微囊藻,0.3785,652,586,678,613
70,huiwanxi2024-220241027_DL_3260.jpg,微囊藻,0.3607,862,757,886,786
71,huiwanxi2024-220241027_DL_3266.jpg,小环藻,0.4767,1206,507,1250,550
72,huiwanxi2024-220241027_DL_3266.jpg,微囊藻,0.4018,652,35,681,67
73,huiwanxi2024-220241027_DL_3269.jpg,微囊藻,0.3926,587,666,609,689
74,huiwanxi2024-220241027_DL_3270.jpg,微囊藻,0.3562,587,586,610,610
75,huiwanxi2024-220241027_DL_3273.jpg,微囊藻,0.3034,587,329,612,355
76,huiwanxi2024-220241027_DL_3275.jpg,微囊藻,0.6315,585,129,615,159
77,huiwanxi2024-220241027_DL_3277.jpg,微囊藻,0.5733,583,1,618,36
78,huiwanxi2024-220241027_DL_3285.jpg,微囊藻,0.3912,932,0,973,32
79,huiwanxi2024-220241027_DL_3302.jpg,微囊藻,0.2534,748,466,767,489
80,huiwanxi2024-220241027_DL_3303.jpg,微囊藻,0.3365,747,370,769,395
81,huiwanxi2024-220241027_DL_3321.jpg,微囊藻,0.3900,820,173,841,196
82,huiwanxi2024-220241027_DL_3335.jpg,束丝藻,0.3653,1336,588,1411,873
83,huiwanxi2024-220241027_DL_3348.jpg,微囊藻,0.2770,629,132,652,156
84,huiwanxi2024-220241027_DL_3353.jpg,微囊藻,0.6116,808,555,832,580
85,huiwanxi2024-220241027_DL_3353.jpg,微囊藻,0.2614,677,188,692,204
86,huiwanxi2024-220241027_DL_3358.jpg,小环藻,0.9341,319,764,388,841
87,huiwanxi2024-220241027_DL_3359.jpg,小环藻,0.9191,319,635,388,715
88,huiwanxi2024-220241027_DL_3360.jpg,小环藻,0.9107,321,520,391,598
89,huiwanxi2024-220241027_DL_3361.jpg,小环藻,0.8136,323,378,392,445
90,huiwanxi2024-220241027_DL_3362.jpg,小环藻,0.7455,322,199,392,267
91,huiwanxi2024-220241027_DL_3363.jpg,小环藻,0.5264,321,72,395,151
92,huiwanxi2024-220241027_DL_3365.jpg,微囊藻,0.2832,1233,662,1265,690
93,huiwanxi2024-220241027_DL_3367.jpg,微囊藻,0.2720,1236,280,1266,308
94,huiwanxi2024-220241027_DL_3368.jpg,微囊藻,0.3248,1237,1,1271,30
95,huiwanxi2024-220241027_DL_3380.jpg,微囊藻,0.5570,727,699,750,723
96,huiwanxi2024-220241027_DL_3381.jpg,微囊藻,0.3186,727,506,752,533
97,huiwanxi2024-220241027_DL_3381.jpg,游丝藻,0.2968,403,199,595,248
98,huiwanxi2024-220241027_DL_3383.jpg,微囊藻,0.5261,613,271,633,293
99,huiwanxi2024-220241027_DL_3383.jpg,微囊藻,0.4097,726,188,756,221
100,huiwanxi2024-220241027_DL_3383.jpg,微囊藻,0.3153,953,61,970,82
101,huiwanxi2024-220241027_DL_3425.jpg,其他,0.7002,647,535,821,878
102,huiwanxi2024-220241027_DL_3426.jpg,束丝藻,0.8564,633,232,821,656
103,huiwanxi2024-220241027_DL_3426.jpg,微囊藻,0.5081,810,749,836,775
104,huiwanxi2024-220241027_DL_3427.jpg,长孢藻,0.7200,639,0,778,268
105,huiwanxi2024-220241027_DL_3427.jpg,微囊藻,0.4694,810,473,840,504
