=== 每张图片各类藻密度 (Cells/L，含修正系数) ===
文件名,丝状藻,其他,小环藻,微囊藻,拟新月藻,栅藻,浮丝藻,长孢藻,合计密度
haiwanzhong2025-720241027_DL_0.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,6.72e+08
haiwanzhong2025-720241027_DL_1.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.19e+09
haiwanzhong2025-720241027_DL_10.jpg,0.00e+00,0.00e+00,0.00e+00,7.76e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,1.29e+09
haiwanzhong2025-720241027_DL_100.jpg,0.00e+00,0.00e+00,0.00e+00,7.76e+08,0.00e+00,0.00e+00,1.03e+09,5.17e+08,2.33e+09
haiwanzhong2025-720241027_DL_101.jpg,0.00e+00,0.00e+00,0.00e+00,9.31e+08,0.00e+00,0.00e+00,1.03e+09,5.17e+08,2.48e+09
haiwanzhong2025-720241027_DL_102.jpg,0.00e+00,0.00e+00,0.00e+00,9.31e+08,0.00e+00,0.00e+00,1.03e+09,5.17e+08,2.48e+09
haiwanzhong2025-720241027_DL_103.jpg,0.00e+00,0.00e+00,0.00e+00,7.76e+08,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.81e+09
haiwanzhong2025-720241027_DL_104.jpg,0.00e+00,0.00e+00,0.00e+00,7.76e+08,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.81e+09
haiwanzhong2025-720241027_DL_105.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,9.83e+08
haiwanzhong2025-720241027_DL_106.jpg,0.00e+00,0.00e+00,0.00e+00,1.40e+09,0.00e+00,0.00e+00,1.03e+09,0.00e+00,2.43e+09
haiwanzhong2025-720241027_DL_107.jpg,0.00e+00,0.00e+00,0.00e+00,1.40e+09,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.40e+09
haiwanzhong2025-720241027_DL_108.jpg,0.00e+00,0.00e+00,0.00e+00,1.24e+09,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.24e+09
haiwanzhong2025-720241027_DL_109.jpg,0.00e+00,0.00e+00,0.00e+00,6.21e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.21e+08
haiwanzhong2025-720241027_DL_11.jpg,0.00e+00,0.00e+00,0.00e+00,1.09e+09,0.00e+00,0.00e+00,5.17e+08,0.00e+00,1.60e+09
haiwanzhong2025-720241027_DL_110.jpg,0.00e+00,0.00e+00,0.00e+00,9.31e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,9.31e+08
haiwanzhong2025-720241027_DL_111.jpg,0.00e+00,0.00e+00,0.00e+00,1.09e+09,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.09e+09
haiwanzhong2025-720241027_DL_112.jpg,0.00e+00,0.00e+00,0.00e+00,9.31e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,9.31e+08
haiwanzhong2025-720241027_DL_113.jpg,0.00e+00,0.00e+00,0.00e+00,6.21e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.21e+08
haiwanzhong2025-720241027_DL_114.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08
haiwanzhong2025-720241027_DL_115.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.66e+08
haiwanzhong2025-720241027_DL_116.jpg,0.00e+00,0.00e+00,0.00e+00,6.21e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.21e+08
haiwanzhong2025-720241027_DL_117.jpg,0.00e+00,0.00e+00,0.00e+00,7.76e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,7.76e+08
haiwanzhong2025-720241027_DL_118.jpg,0.00e+00,0.00e+00,0.00e+00,6.21e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,1.14e+09
haiwanzhong2025-720241027_DL_119.jpg,0.00e+00,0.00e+00,0.00e+00,6.21e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,1.14e+09
haiwanzhong2025-720241027_DL_12.jpg,0.00e+00,0.00e+00,0.00e+00,7.76e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,1.29e+09
haiwanzhong2025-720241027_DL_120.jpg,0.00e+00,0.00e+00,0.00e+00,7.76e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,1.29e+09
haiwanzhong2025-720241027_DL_121.jpg,0.00e+00,0.00e+00,0.00e+00,6.21e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,1.14e+09
haiwanzhong2025-720241027_DL_122.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,9.83e+08
haiwanzhong2025-720241027_DL_123.jpg,5.17e+08,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,8.28e+08
haiwanzhong2025-720241027_DL_124.jpg,0.00e+00,0.00e+00,0.00e+00,6.21e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,1.14e+09
haiwanzhong2025-720241027_DL_125.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.66e+08
haiwanzhong2025-720241027_DL_126.jpg,0.00e+00,0.00e+00,0.00e+00,6.21e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.21e+08
haiwanzhong2025-720241027_DL_127.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08
haiwanzhong2025-720241027_DL_128.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08
haiwanzhong2025-720241027_DL_129.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08
haiwanzhong2025-720241027_DL_13.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.66e+08
haiwanzhong2025-720241027_DL_130.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.66e+08
haiwanzhong2025-720241027_DL_131.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
haiwanzhong2025-720241027_DL_132.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,8.28e+08
haiwanzhong2025-720241027_DL_133.jpg,5.17e+08,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,8.28e+08
haiwanzhong2025-720241027_DL_134.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,8.28e+08
haiwanzhong2025-720241027_DL_135.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,8.28e+08
haiwanzhong2025-720241027_DL_136.jpg,0.00e+00,0.00e+00,0.00e+00,6.21e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,1.14e+09
haiwanzhong2025-720241027_DL_137.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,9.83e+08
haiwanzhong2025-720241027_DL_138.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,9.83e+08
haiwanzhong2025-720241027_DL_139.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,9.83e+08
haiwanzhong2025-720241027_DL_14.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08
haiwanzhong2025-720241027_DL_140.jpg,0.00e+00,0.00e+00,0.00e+00,7.76e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,1.29e+09
haiwanzhong2025-720241027_DL_141.jpg,0.00e+00,0.00e+00,0.00e+00,6.21e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,1.14e+09
haiwanzhong2025-720241027_DL_142.jpg,0.00e+00,0.00e+00,0.00e+00,7.76e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,7.76e+08
haiwanzhong2025-720241027_DL_143.jpg,0.00e+00,0.00e+00,0.00e+00,7.76e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,7.76e+08
haiwanzhong2025-720241027_DL_144.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08
haiwanzhong2025-720241027_DL_145.jpg,0.00e+00,5.17e+07,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.62e+08
haiwanzhong2025-720241027_DL_146.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,6.72e+08
haiwanzhong2025-720241027_DL_147.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,6.72e+08
haiwanzhong2025-720241027_DL_148.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.03e+09
haiwanzhong2025-720241027_DL_149.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.03e+09
haiwanzhong2025-720241027_DL_15.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08
haiwanzhong2025-720241027_DL_150.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.19e+09
haiwanzhong2025-720241027_DL_151.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08,0.00e+00,5.17e+08
haiwanzhong2025-720241027_DL_152.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08,0.00e+00,5.17e+08
haiwanzhong2025-720241027_DL_153.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,6.72e+08
haiwanzhong2025-720241027_DL_154.jpg,5.17e+08,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,1.34e+09
haiwanzhong2025-720241027_DL_155.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.03e+09
haiwanzhong2025-720241027_DL_156.jpg,5.17e+08,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.71e+09
haiwanzhong2025-720241027_DL_157.jpg,5.17e+08,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.71e+09
haiwanzhong2025-720241027_DL_158.jpg,5.17e+08,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.86e+09
haiwanzhong2025-720241027_DL_159.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.19e+09
haiwanzhong2025-720241027_DL_16.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08
haiwanzhong2025-720241027_DL_160.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.50e+09
haiwanzhong2025-720241027_DL_161.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.34e+09
haiwanzhong2025-720241027_DL_162.jpg,0.00e+00,5.17e+07,0.00e+00,3.10e+08,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.40e+09
haiwanzhong2025-720241027_DL_163.jpg,5.17e+08,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,1.34e+09
haiwanzhong2025-720241027_DL_164.jpg,5.17e+08,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,1.34e+09
haiwanzhong2025-720241027_DL_165.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,9.83e+08
haiwanzhong2025-720241027_DL_166.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,8.28e+08
haiwanzhong2025-720241027_DL_167.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,8.28e+08
haiwanzhong2025-720241027_DL_168.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,8.28e+08
haiwanzhong2025-720241027_DL_169.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.19e+09
haiwanzhong2025-720241027_DL_17.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
haiwanzhong2025-720241027_DL_170.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.34e+09
haiwanzhong2025-720241027_DL_171.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.34e+09
haiwanzhong2025-720241027_DL_172.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.50e+09
haiwanzhong2025-720241027_DL_173.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.50e+09
haiwanzhong2025-720241027_DL_174.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,9.83e+08
haiwanzhong2025-720241027_DL_175.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,1.03e+09,0.00e+00,1.50e+09
haiwanzhong2025-720241027_DL_176.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,9.83e+08
haiwanzhong2025-720241027_DL_177.jpg,0.00e+00,0.00e+00,0.00e+00,6.21e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,1.14e+09
